nome|classes|posicoes|tipo_range|tipo_dano|habilidade_passiva|habilidade_q|habilidade_w|habilidade_e|habilidade_r
Jarvan IV|Diver|Jungle|Melee|Physical|Martial Cadence - Innate:   Jarvan IV's   basic attacks  are empowered to deal  bonus  physical damage  equal to  8% of the target's  current  health , with a minimum threshold of 20 and capped at 400 against non-   champion  targets.|Dragon Strike - Active:   Jarvan IV  extends his lance in the target direction, dealing  physical damage  to enemies hit and inflicting them with    armor reduction  for 3 seconds.|Golden Aegis - Active:   Jarvan IV     slows  all nearby enemies for 2 seconds.|Demacian Standard - Passive:   Jarvan IV  gains    bonus  attack speed .|Cataclysm - Active:   Jarvan IV     leaps  with    displacement immunity  to the target enemy champion's location over 0. 35  seconds, dealing  physical damage  to all nearby enemies upon arrival.
Jayce|Artillery|Middle|Melee|Physical|Hextech Capacitor - Innate:  Whenever  Jayce  switches between either    Hammer Stance  or    Cannon Stance , he gains    ghosting  and    40  bonus  movement speed  for 0. 75  seconds.| - Active:   Jayce     leaps  to the target enemy's location. Upon arrival, he deals  physical damage  to all enemies within an area and    slows  them for 2 seconds.|Lightning Field - Passive:   Jayce's   basic attacks  restore    mana     on-hit .|Thundering Blow - Active:   Jayce     roots  the target enemy over the cast time, then swings his hammer at them to deal  magic damage , capped against    monsters , and    knock them back  600 units.|Transform Mercury Cannon - Active:   Jayce  transforms into    Cannon Stance , receiving access to its  abilities , becoming    ranged  with   500 attack range , and empowering his next  basic attack  to reduce the target's    armor  and    magic resistance  by  10 / 15 / 20 / 25% (based on level)  for 5 seconds.
Jhin|Marksman, Catcher|Bottom|Ranged|Physical|Whisper - Innate - Death In 4 Acts:   Jhin's   basic attacks  consume  ammunition  within 4 rounds. He will  reload  over 2. 5  seconds immediately after expending all rounds or withholding leftover rounds after 10 seconds of being  out of combat  and not being affected by    crowd control . The latter reload can be interrupted by declaring an attack or casting an ability.|Dancing Grenade - Active:   Jhin  throws a grenade at the target enemy that deals  physical damage  and can bounce to up to three additional nearby enemies, prioritizing the closest enemy that has not been hit.|Deadly Flourish - Passive:  Enemy    champions  that trigger a    Lotus Trap  to bloom or are damaged by  Jhin  or allied champions are  marked  for 4 seconds.|Captive Audience - Passive - Beauty in Death:  Whenever  Jhin  kills an enemy champion, he summons a  Blooming Lotus Trap  on their corpse.|Curtain Call - Active:   Jhin     channels  for up to 10 seconds, transforming his weapon into a cannon and gaining the ability to recast  Curtain Call  4 times within the duration.
Jinx|Marksman|Bottom|Ranged|Physical| - Innate:  Whenever  Jinx  scores a    takedown  against an enemy    champion , epic    monster ,    turret , or  inhibitor  within 3 seconds of damaging them, she gains    175%  bonus  movement speed  decaying over 6 seconds.| - Toggle:   Jinx  switches between    Pow-Pow , her minigun, and    Fishbones , her rocket launcher.| - Active:   Jinx  fires a shock blast in the target direction that deals  physical damage  to the first enemy it hits and    reveals  and    slows  them for 2 seconds.| - Active:   Jinx  tosses out 3  Chompers  centered at the target location, landing after 0. 4  seconds, arming after 0. 75  seconds, and exploding after 5 seconds to deal  magic damage  to nearby enemies.| - Active:   Jinx  fires a massive rocket in the target direction, briefly granting    sight  of its  surroundings  and exploding upon colliding with an enemy champion. The explosion deals  physical damage  to  nearby  enemies and grants    sight  of the  area  for 2 seconds.
K'Sante|Skirmisher|Top|Melee|Physical|Dauntless Instinct - Innate:   K'Sante's   abilities  mark enemies hit for 4 seconds. His  basic attacks  against marked enemies are empowered to consume the mark  on-hit , dealing  20   (+  1% − 2% (based on level)  of target's  maximum  health)   bonus  physical damage . The health-based portion deals a minimum of  15 − 100 (based on level)  damage against    minions  and  20 − 105 (based on level)  against    monsters .|Ntofo Strikes - Active:   K'Sante  slams his ntofo down in the target direction that deals  physical damage  to enemies hit and    slows  them by 80% for 0. 5  seconds.|Path Maker - Active:   K'Sante  prepares to    dash  in the target direction,    charging  for a minimum of 0. 4  seconds and up to 1 second. During this time, he gains    displacement immunity  and 30% damage reduction; additionally,  Path Maker's  range,    stun  duration, and    All Out   bonus  true damage  modifier increase over the first 0. 9  seconds of the channel.|Footwork - Active:   K'Sante     dashes  to the target location, though not through terrain, and grants himself a    shield  for 2 seconds.|All Out - Active:   K'Sante     roots  the target enemy    champion  for  0. 5  seconds  and gains    displacement immunity  over the cast time. He then shatters his ntofos,    pulling  the target to a location that is 300 units in the cast direction from their location at the time of cast, during which they are    revealed , and    blinking   175 units  behind that location. The target is dealt  physical damage  near the end of the displacement and is    stunned  for 0. 3  seconds once it ends.
Kalista|Marksman|Bottom|Ranged|Physical|Martial Poise - Innate:  Whenever  Kalista  inputs a movement command during her    basic attack  windup or the cast time of    Pierce , she will    dash  in the target direction. Kalista's  dash from Martial Poise will be    knocked down  by any    immobilizing  or    polymorphing  crowd control, excluding    sleep (bug) .|Pierce - Active:   Kalista  launches a spear in the target direction that deals  physical damage  to the first enemy hit.|Sentinel - Passive - Soul-Marked:  While  Kalista  and her    Oathsworn  are    tethered , their basic attacks and    Pierce  apply a  Soul-Mark  to the target hit for 4 seconds.|Rend - Passive:   Kalista's  basic attacks    on-hit  and    Pierce  apply a  stack  of  Rend  to enemies for 4 seconds, refreshing on subsequent hits and stacking up to 254 times.| - Active:   Kalista  invokes her    tether  to retrieve and hold her  Oathsworn  for 4 seconds.  Kalista     cleanses  the  Oathsworn  from all    crowd control  and renders them    invulnerable  and    untargetable  for the duration, and    pulls  them to her over 1 second.
Karma|Burst, Enchanter|Top|Ranged|Magic|Gathering Fire - Innate:     Mantra's     current  cooldown  is reduced by 4 seconds for each enemy champion hit by  Karma's  damaging  abilities .|Inner Flame - Active:   Karma  fires a bolt in the target direction that explodes on the first enemy hit, dealing  magic damage  to nearby enemies and    slowing  them by 40% for 1. 5  seconds.|Focused Resolve - Active:   Karma  deals  magic damage  to the target enemy    champion  or    monster  and forms a    tether  between her and them for 2 seconds, during which they are    revealed .|Inspire - Active:   Karma  grants a    shield  to herself or the target allied champion for 2. 5  seconds as well as    40%  bonus  movement speed  for 2 seconds.|Mantra - Active:   Karma  empowers her next basic ability within 8 seconds for an additional effect.  Mantra can be used while affected by    cast-inhibiting crowd control .
Karthus|Battlemage|Jungle|Ranged|Magic|Death Defied - Innate:  Upon taking    fatal damage ,  Karthus  enters a    zombie state  for 7 seconds, during which he can cast his abilities at no cost. If    Defile  has been learned, it will remain toggled on for  Death Defied's  entire duration.    Requiem  becomes disabled after  Death Defied  has lasted 4 seconds.|Lay Waste - Active:   Karthus  conjures a blast at the target location that detonates after  0. 528  seconds  to  0. 759  seconds , granting    sight  of the area and dealing  magic damage  to all enemies within,    doubled  when only one target is struck.|Wall of Pain - Active:   Karthus  erects a wall of pain at the target location perpendicular to his facing that lasts 5 seconds, granting    sight  around its pillars and center.|Defile - Passive:   Karthus  restores    mana  whenever he kills an enemy.|Requiem - Active:   Karthus     channels  for 3 seconds, then deals  magic damage  to all targetable enemy champions upon completion.
Kassadin|Assassin|Middle|Melee|Magic|Void Stone - Innate:   Kassadin  is permanently    ghosted  and takes 10% reduced    magic damage .|Null Sphere - Active:   Kassadin  fires an orb of void energy at the target enemy that deals  magic damage  and    disrupts  their ongoing    channels .|Nether Blade - Passive:   Kassadin's   basic attacks  deal  20   (+ 10% AP)   bonus  magic damage     on-hit .|Force Pulse - Passive:  Each time  Kassadin  or a nearby    champion  casts an  ability ,  Force Pulse's     current  cooldown  is reduced by 0. 75  seconds.|Riftwalk - Active:   Kassadin     blinks  toward the target location, dealing  magic damage  to all nearby enemies upon arrival. He then gains a stack of  Riftwalk  for 15 seconds, refreshing on subsequent casts and stacking up to 4 times.
Katarina|Assassin|Middle|Melee|Magic|Voracity - Innate:  Scoring a champion    takedown  within 3 seconds of damaging them will reduce the    current  cooldowns  of  Katarina's   abilities  by 15 seconds.|Bouncing Blade - Active:   Katarina  throws a  Dagger  at the target enemy that deals  magic damage  and can bounce to up to two additional nearby enemies.|Preparation - Active:   Katarina  tosses a  Dagger  into the air above her current location and gains    bonus  movement speed  that decays until it lands after 1. 25  seconds, becoming    ghosted  for the same duration.|Shunpo - Active:   Katarina     blinks  to the target location around the target unit or  Dagger , dealing  magic damage  to the nearest enemy in range and applying    on-hit  effects at 100% effectiveness.|Death Lotus - Active:   Katarina     channels  for up to 2. 5  seconds, rapidly throwing a dagger every 0. 166  seconds to up to 3 of the closest nearby enemy champions,    revealing  herself in the process. Each dagger deals  physical damage  and  magic damage , applies  on-attack  and    on-hit  (without applying    life steal ) effects, and inflicts    Grievous Wounds  on the target for 3 seconds.
Kayle|Specialist|Top|Melee|Physical|Divine Ascent - Innate:   Kayle  ascends through four forms that each grant additional bonuses. She ascends upon spending a skill point at  levels  1, 6, 11, and 16.|Radiant Blast - Active:   Kayle  conjures a portal in front of her that faces the target direction, from which a celestial sword launches forward. The sword expands upon hitting an enemy, targets struck in the area are dealt  magic damage ,    slowed  for 2 seconds, and inflicted with 15%  reduced     armor  and    magic resistance  for 4 seconds.|Celestial Blessing - Active:   Kayle  and the target allied champion are    healed  and gain  bonus  movement speed  for 2 seconds.|Starfire Spellblade - Passive:   Kayle  deals  bonus  magic damage     on-hit .|Divine Judgment - Active:   Kayle  grants herself or a target allied champion    invulnerability  for 2. 5  seconds and conjures swords of fire.
Kayn|Skirmisher|Jungle|Melee|Physical|The Darkin Scythe - Innate:   Kayn  has a secondary  experience bar  that tracks progress toward his    Darkin  and    Shadow Assassin  forms. He gathers orbs from champion    takedowns  and each instance of damage (excluding  damage over time ) dealt against champions. Once he has earned enough orbs, he unlocks a form based on whether he earned more from    melee  or    ranged  champions (for    Darkin  and    Shadow Assassin , respectively), with the other form unlocked later.|Reaping Slash - Active:   Kayn     dashes  in the target direction, dealing  physical damage  to enemies he passes through. He then swings his scythe, dealing the same damage to nearby enemies.| - Active:   Kayn  swings his scythe in the target direction, dealing  physical damage  to enemies hit and    slowing  them by 90% decaying over 1. 5  seconds.|Shadow Step - Active:   Kayn  gains    40%  bonus total  movement speed ,    ghosting  and the ability to ignore terrain collision for a duration. If he has been  in combat  with enemy champions within the last 3 seconds,  Shadow Step  will instead last 1. 5  seconds.|Umbral Trespass - Passive:   Kayn   marks  enemy champions he damaged in the last 3. 15  seconds.
Kennen|Specialist|Top|Ranged|Magic|Mark of the Storm - Innate:   Kennen's   abilities  apply a  stack  of  Mark of the Storm  to enemies hit for 6 seconds, refreshing on subsequent applications and stacking up to 3 times.|Thundering Shuriken - Active:   Kennen  throws a shuriken in the target direction that deals  magic damage  to the first enemy hit.|Electrical Surge - Passive:   Kennen's  basic attacks  on-attack  generate a stack of  Electrical Surge , stacking up to 4 times. At 4 stacks, his next basic attack is empowered to consume them all to deal  bonus  magic damage  and apply a stack of    Mark of the Storm . Kennen  gains maximum stacks of  Electrical Surge  upon  respawning .|Lightning Rush - Active:   Kennen  turns into lightning for 2 seconds, becoming unable to declare basic attacks but gaining    ghosting  and    100%  bonus  movement speed . He deals  magic damage  to enemies he passes through, reduced to 65% against non-champions, and restores    40 energy  upon damaging at least one enemy.|Slicing Maelstrom - Active:   Kennen  summons a storm around himself for 3 seconds, gaining    bonus  armor  and    bonus  magic resistance  for the duration.
Kha'Zix|Assassin|Jungle|Melee|Physical|Unseen Threat - Innate:   Kha'Zix  gains  Unseen Threat  whenever the enemy loses    sight  of him or he activates    Void Assault .  Unseen Threat:   Kha'Zix  empowers his next  basic attack  against an enemy champion to deal  14 − 116 (based on level)   (+ 40%  bonus  AD)   bonus  magic damage  and    slow  them by 25% for 2 seconds.|Taste Their Fear - Passive:   Kha'Zix  considers any enemy unit to be  Isolated  if they are not nearby to one of their allies.    Taste Their Fear ,    Evolved Reaper Claws , and    Evolved Spike Racks  have special interactions against  Isolated  targets.|Void Spike - Active:   Kha'Zix  fires a bolt of spikes in the target direction that explodes upon hitting an enemy, dealing  physical damage  to nearby enemies.|Leap - Active:   Kha'Zix     leaps  to the target location, dealing  physical damage  to nearby enemies upon arrival.|Void Assault - Passive:  Each rank in  Void Assault  allows  Kha'Zix  to evolve one of his abilities, granting it additional effects. Evolving an ability causes him to enter a 2-second cast time.  Kha'Zix  cannot evolve while he is unable to cast abilities.
Kled|Skirmisher|Top|Melee|Physical| - Innate:   Kled  rides his semi-trusty mount,    Skaarl . While  Mounted , all damage dealt to the duo is suffered by    Skaarl , who has  400 − 1550 (based on level)   base  health ; additional sources of health are applied to    Skaarl's   maximum  health . Effects based on percentage health consider  Kled  and    Skaarl's  combined  maximum  health .|Bear Trap on a Rope - Active:   Kled  throws a bear trap in the target direction that deals  physical damage  to enemies hit, increased by 50% against    minions  and small    monsters . The bear trap collides against the first enemy    champion  or large    monster  hit, forming a    tether  between  Kled  and the target for 1. 75  seconds, during which they are    revealed .|Violent Tendencies - Passive:   Kled  periodically gains  Violent Tendencies , which starts expiring upon his next basic attack.|Jousting - Active:     Skaarl     dashes  in the target direction, though not through terrain, dealing  physical damage  to enemies he passes through and    pulling     minions  and small    monsters  hit towards them.| - Active:   Kled  &    Skaarl  charge toward the target location, automatically navigating terrain along the way, during which they're    ghosted  and    immune to crowd control . If the charge does not complete within 15 seconds, it will end prematurely. The charge is interrupted instantly if  Kled     dismounts  during it.
Kog'Maw|Marksman|Bottom|Ranged|Physical|Icathian Surprise - Innate:  Upon taking    fatal damage ,  Kog'Maw  enters a    zombie state  for 4 seconds, becoming    ghosted  and gaining    10%  bonus  movement speed  that increases up to  50%  over the duration. At the end of the duration, he explodes to deal    140 − 650 (based on level)  true damage  to nearby enemies.|Caustic Spittle - Passive:   Kog'Maw  gains    bonus  attack speed .|Bio-Arcane Barrage - Active:   Kog'Maw  empowers his  basic attacks  for the next 8 seconds to gain    bonus  attack range  and deal  bonus  magic damage     on-hit , capped at 100 against    minions  and    monsters .|Void Ooze - Active:   Kog'Maw  spews a gob of ooze in the target direction that deals  magic damage  to enemies hit.|Living Artillery - Active:   Kog'Maw  spits a globule of acid into the air that drops to the target location after 0. 6  seconds, granting    sight  of the area before dealing  magic damage  to enemies hit and    revealing  them for 2 seconds.  Living Artillery's  damage is increased by  0% − 50% (based on target's  missing  health) , or instead by    100%  if the target is below  40%  maximum  health .
LeBlanc|Burst|Middle|Ranged|Magic|Mirror Image - Innate:  Periodically, when  LeBlanc  is damaged to    40%  maximum  health , she creates a    clone  of herself, after which they both instantly become    invisible  for 1 second.|Sigil of Malice - Active:   LeBlanc  projects an orb at the target enemy that deals  magic damage  and marks them for 3. 5  seconds.|Distortion - Active:   LeBlanc     dashes  to the target location, dealing  magic damage  to all nearby enemies upon arrival and leaving a return pad at the cast location for 4 seconds.  Distortion  can be recast after 0. 2  seconds of the dash ending for the pad's duration.|Ethereal Chains - Active:   LeBlanc  flings an illusory chain in the target direction that deals  magic damage  to the first enemy it hits and forms a    tether  between  LeBlanc  and the target for 1. 5  seconds, during which they are    revealed .|Mimic - Active:   LeBlanc  casts a mimicked version of her most recently used basic ability, applying the same effects and dealing  modified  magic damage .
Lee Sin|Diver|Jungle|Melee|Physical|Flurry - Innate:  After casting an  ability ,  Lee Sin's  next 2  basic attacks  within 3 seconds gain    40%  bonus  attack speed  and restore    energy .|Sonic Wave - Active:   Lee Sin  fires a sonic blast in the target direction that deals  physical damage  to the first enemy hit and marks them for 3 seconds, during which they are    revealed .|"Safeguard - Active:   Lee Sin     dashes  to the target allied unit's location. If the ally is a    champion  upon arrival, both they and  Lee Sin  gain a    shield  for 2 seconds and  Safeguard's    cooldown  is halved. 
 Lee Sin  can  self-cast   Safeguard  to shield himself."|Tempest - Active:   Lee Sin  smashes the ground beneath him, dealing  magic damage  to nearby enemies, marking them for 4 seconds and, if they are not    invisible  when struck,    revealing  them for the same duration.| - Active:   Lee Sin     roots  the target enemy champion over the cast time, then roundhouse kicks them to deal  physical damage  and    knock them back   up to 800 units   over 0. 8  seconds , rendering them    airborne  for 1 second.
Leona||Support|Melee|Physical|Sunlight - Innate:   Leona's   abilities  mark enemies hit for 1. 5  seconds, refreshing on subsequent hits.  Allied    champions'  damaging attacks and abilities against a marked target will consume the mark to deal  32 − 151 (based on level)   bonus  magic damage .|Shield of Daybreak - Active:   Leona  illuminates her shield, empowering her next  basic attack  within 6 seconds to have a 0. 25 -second cast time, gain   50  bonus  range , deal  bonus  magic damage  and    stun  the target for 1 second.|Eclipse - Active:   Leona  raises her  guard  for 3 seconds, gaining flat damage reduction of up to 50% of the damage instance and    bonus  armor  and    bonus  magic resistance .|Zenith Blade - Active:   Leona  projects her sword in the target direction that deals  magic damage  to enemies hit.|Solar Flare - Active:   Leona  calls down a solar flare that strikes upon the target location after 0. 625  seconds, granting    sight  of the area before impact and for another 3 seconds afterwards. Enemies hit are dealt  magic damage .
Lillia|Skirmisher|Jungle|Melee|Magic|Dream-Laden Bough - Innate:   Lillia's   abilities  apply  Dream Dust  to enemies hit, which deals 「  5%  (+ 1. 25 % per 100 AP)  of the target's  maximum  health   total  magic damage  over 3 seconds, capped at 65 」 「  0. 8 3 %  (+ 0. 208 3 % per 100 AP)  of the target's  maximum  health   magic damage  every 0. 5  seconds over 3 seconds, capped at 10. 8 3  per tick 」 against    monsters .|Blooming Blows - Passive:  Whenever  Lillia's  abilities hit at least one enemy, she generates a  stack  of  Prance  for 6. 5  seconds, refreshing on subsequent hits and stacking up to 4 times. Stacks expire by one every 1. 5  seconds when the duration ends.| - Active:   Lillia     dashes  to 150 units in front of the target location over  0. 759  seconds , though not through terrain, and deals  magic damage  in an area around the target spot. Enemies hit within the epicenter are dealt    200% increased damage .|Swirlseed - Active:   Lillia  lobs a seed at the target location that rolls forward indefinitely. The seed detonates upon hitting an enemy or terrain while on the ground, dealing  magic damage  to enemies in a cone,    slowing  them by 40% for 3 seconds and    revealing  them for 2 seconds.|Lilting Lullaby - Active:   Lillia  casts a magical lullaby over all enemy    champions  affected by    Dream Dust , which  arrives after 0. 3  seconds  and renders them    drowsy  for 1. 5  seconds,    slowing  them by 10%. After the duration, they fall    asleep  for 2 seconds.
Lissandra|Burst|Middle|Ranged|Magic|Iceborn Subjugation - Innate:  Whenever a nearby enemy champion dies,  Lissandra  spawns a  Frozen Thrall  from their corpse. Frozen Thralls  are ice spirits that have  33. 48  − 325 (based on seconds)  movement speed  and    slow  nearby enemies by 25%. They will chase nearby    visible  enemies for 4 seconds, prioritizing    champions , after which they shatter to deal  120 − 520 (based on level)   (+ 50% AP)   magic damage  to nearby enemies.|Ice Shard - Active:   Lissandra  launches a shard of ice in the target direction that deals  magic damage  and    slows  enemies hit for 1. 5  seconds.|Ring of Frost - Active:   Lissandra  freezes nearby enemies, dealing  magic damage  and    rooting  them for a duration.|Glacial Path - Active:   Lissandra  sends a claw of ice in the target direction that deals  magic damage  to enemies it passes through, decelerating over 1. 25  seconds.  Glacial Path  can be recast after 0. 5  seconds while the claw is active.|Frozen Tomb - Active:   Lissandra  can cast  Frozen Tomb  on herself or an enemy champion.
Lucian|Marksman|Bottom|Ranged|Physical|Lightslinger - Innate:  After casting an  ability ,  Lucian's  next  basic attack  within 3. 5  seconds fires an additional shot  on-attack  after 0. 25  seconds, which deals  50 / 55 / 60% (based on level)  AD  physical damage , increased to  100% AD  against    minions . He will shoot the same target, else another target in range.|Piercing Light - Active:   Lucian  fires a laser in a line in the direction of the target enemy that deals  physical damage  to enemies hit.|Ardent Blaze - Active:   Lucian  fires a missile in the target direction that explodes in a cross pattern upon hitting an enemy or reaching maximum range, dealing  magic damage  to enemies hit and granting    sight  of the area for 1 second.|Relentless Pursuit - Passive:   Relentless Pursuit's     current  cooldown  is reduced by 1 second for each    Lightslinger  shot hit, doubled to 2 seconds against enemy    champions .|The Culling - Active:   Lucian     channels  for up to 3 seconds, rapidly firing up to 22  (+ 1 per 4% critical strike chance)  shots in the target direction. Each shot deals  physical damage  to the first enemy hit, doubled against    minions .  The Culling  can be recast after 0. 75  seconds during the channel, and does so automatically when the channel ends.
Lulu|Enchanter|Support|Ranged|Magic| - Innate:   Lulu  is assisted by  Pix , an    untargetable  faerie, who follows her around and fires a barrage of 3 bolts towards her target whenever she uses a  basic attack   on-attack . Each bolt deals  5 − 39 (based on level)   (+ 5% AP)   magic damage  to the first enemy it collides with, for a total of  15 − 117 (based on level)   (+ 15% AP)  on hitting a single target with all three bolts.|Glitterlance - Active:   Lulu  and    Pix  each fire a magic bolt towards the target point, each one dealing  magic damage  to enemies hit, reduced to 70% against    minions , and    slowing  them by 80% decaying over 2 seconds.|Whimsy - Active:   Lulu  can cast  Whimsy  on herself or a champion.| - Active:   Lulu  can cast  Help, Pix!  on herself or an ally or enemy.|Wild Growth - Active:   Lulu  enlarges herself or the target allied champion,    knocking up  nearby enemies for 1 second. For the next 7 seconds, the target gains    bonus  health  and 40% increased  size  and    slows  nearby enemies, which lingers for 0. 25  seconds.
Lux|Burst, Artillery|Support|Ranged|Magic|Illumination - Innate:   Lux's   abilities  apply a mark to enemies hit for 6 seconds, refreshing on subsequent hits.  Lux's   basic attacks  and    Final Spark  consume the mark to deal  30 − 200 (based on level)   (+ 30% AP)   bonus  magic damage .|Light Binding - Active:   Lux  shoots a sphere of light in the target direction that deals  magic damage  to the first two enemies hit and    roots  them for 2 seconds.|Prismatic Barrier - Active:   Lux  throws her wand in the target direction that homes back to her after reaching maximum range. Allied champions hit by the wand gain a    shield  for 2. 5  seconds, which can stack up to 2 times, stacking with the previous shield and refreshing its duration.|Lucent Singularity - Active:   Lux  sends a lucent singularity to the target location, remaining there for 5 seconds to grant    sight  of the area and    slow  nearby enemies.|Final Spark - Active:   Lux  fires a massive laser in a line in the target direction that deals  magic damage  to enemies hit and    reveals  them for 1. 5  seconds, as well as granting    sight  of the surrounding area.
Malzahar|Battlemage|Middle|Ranged|Magic|Void Shift - Innate:  Periodically,  Malzahar  gains  Void Shift  until he takes non-   minion  damage or negates a    crowd control  effect, to which it then lingers for 0. 25  seconds before expiring.  Void Shift:   Malzahar  gains    crowd control immunity  and 90% damage reduction.|Call of the Void - Active:   Malzahar  opens two portals to the void centered at the target location, granting    sight  of the area in between. After 0. 4  seconds, enemies between the portals are dealt  magic damage  and    silenced  for a duration.|Void Swarm - Passive:   Malzahar  generates a stack of  Zz'Rot Swarm  when he casts another  ability , up to a maximum of 2.|Malefic Visions - Active:   Malzahar  infects the target enemy's mind, dealing  magic damage  every 0. 25  seconds over 4 seconds, which refreshes upon damaging them with    Call of the Void  or    Nether Grasp .  Malefic Visions  executes    minions  if they would be damaged below    10 − 30 (based on level)  health .|Nether Grasp - Active:   Malzahar     tethers  to the target enemy champion,    knocking them down . He then    channels  for up to 2. 5  seconds,    suppressing  and    revealing  the target and dealing them  magic damage  every 0. 25  seconds,    revealing  himself in the process.
Maokai||Jungle|Melee|Magic|Sap Magic - Innate:  Periodically,  Maokai  empowers his next  basic attack  to have an    uncancellable windup  and    heal  him for  4% − 12. 8 % (based on level)   maximum  health  after a  0. 25 -second delay.|Bramble Smash - Active:   Maokai  sends a shockwave in the target direction that deals  magic damage  to enemies hit and    slows  them by 99% for 0. 25  seconds.  Bramble Smash  deals  bonus  magic damage  to    monsters .|Twisted Advance - Active:   Maokai     dashes  to the target enemy while being    untargetable . Upon arrival, he deals  magic damage  and    roots  them for a duration.|Sapling Toss - Active:   Maokai     flings  a  Sapling  to the target location, granting    sight  of the  area .| - Active:   Maokai  summons a colossal wall of five thorny brambles that slowly advances in the target direction, accelerating over time, each stopping when they collide with an enemy    champion . Hitting at least one enemy champion grants  Maokai     bonus  movement speed  decaying over 2 seconds.
Master Yi|Skirmisher|Jungle|Melee|Physical|Double Strike - Innate:   Master Yi's   basic attacks     on-hit  generate a  stack  of  Double Strike  for 4 seconds, refreshing on subsequent hits and stacking up to 3 times. At 3 stacks,  Master Yi's  next basic attack  on-attack  is empowered to consume the stacks to strike twice, the second strike dealing  50% AD   physical damage .|Alpha Strike - Active:   Master Yi     vanishes  and becomes    unable to act . After  0. 231  seconds , he marks the target enemy and then proceeds to mark the nearest    visible  un-marked enemy within 600 units, recurring every  0. 231  seconds 「 up to 3 times. 」 「 for a total of 4 marks. 」 If there are no other un-marked targets before then,  Master Yi  can mark the same enemies again. During  Alpha Strike ,  Master Yi  can select a direction from the primary target.|Meditate - Active:   Master Yi     channels  for up to 4 seconds,    healing  himself every 0. 5  seconds, increased by  0% − 100% (based on  missing  health) .|Wuju Style - Active:   Master Yi  empowers his basic attacks within the next 5 seconds to deal    bonus  true damage     on-hit .|Highlander - Passive:  Scoring a champion    takedown  reduces the    current  cooldowns  of  Master Yi's  basic  abilities  by 70%.
Miss Fortune|Marksman|Bottom|Ranged|Physical|Love Tap - Innate:   Miss Fortune's   basic attacks  are empowered to apply a mark that expires upon attacking a new enemy. If the enemy was unmarked, this also deals  50% − 100% (based on level)  AD   bonus  physical damage , halved to  25% − 50% (based on level)  AD  against    minions .|Double Up - Active:   Miss Fortune  fires a shot at the target enemy that deals  physical damage , which then bounces to hit another enemy behind them. This applies  on-attack  effects to the first enemy hit, and    on-hit  effects to both enemies hit.|Strut - Passive:   Miss Fortune  gains    bonus  movement speed  after 4 seconds without taking non-   persistent  damage. This bonus is increased after another 3 seconds, and is granted instantly whenever  Strut  is cast or upon  respawning .|Make It Rain - Active:   Miss Fortune  casts a storm of bullets at the target location for 2 seconds, granting    sight  of the area, dealing  magic damage  every 0. 25  seconds to enemies within, and    slowing  them by 40%  (+ 6% per 100 AP) .|Bullet Time - Active:   Miss Fortune     channels  for up to 3 seconds, firing a number of waves of bullets in the target direction. Each wave is in a spread of 6 projectiles that deals  75% AD   (+ 25% AP)   physical damage  to enemies hit.
Mordekaiser|Juggernaut|Top|Melee|Magic|Darkness Rise - Innate:   Mordekaiser's  basic attacks are empowered to deal  40% AP   bonus  magic damage     on-hit .|Obliterate - Active:   Mordekaiser  strikes his mace down in a line in the target direction, dealing  magic damage  to enemies within,    increased  if only one enemy is hit.|Indestructible - Passive:   Mordekaiser  stores 45% of the  post-mitigation  damage he deals and 7. 5 % of the  pre-mitigation  damage he takes, 「 reduced by 75% for non-champion sources, 」 「 reduced to 11. 25 % of damage dealt and 3. 75 % of damage taken for non-champion sources, 」 as  Potential Shield  on his secondary resource bar, up to    30% of his  maximum  health . The  Potential Shield  decays by  8 − 25 (based on level)  every second after not dealing or taking damage for 1 second. While  Indestructible  is not on cooldown, the  Potential Shield  will not decay below a minimum of  5% of his  maximum  health , and it will be set to that amount when it comes off cooldown if it was previously below it.| - Passive:   Mordekaiser  gains    magic penetration .|Realm of Death - Active:   Mordekaiser  aims his mace towards the target enemy champion,    slowing  them by 75% and    revealing  them over the cast time, and then    banishing  them with him to the  Death Realm  for 7 seconds.  Mordekaiser  also consumes the target's soul for 7 seconds,    healing  himself for  10% of their  maximum  health  and reducing their  current     attack damage ,    ability power ,    total  attack speed ,    maximum  health ,    armor ,    magic resist , and  size  by 10%, in addition to gaining them for himself. If the target dies while inside the  Death Realm ,  Mordekaiser  keeps their partial stats until they  respawn .
Morgana|Catcher|Support|Ranged|Magic|Soul Siphon - Innate:   Morgana     heals  herself for 18% of the  post-mitigation damage  dealt by her  abilities  against    champions , large    minions , and medium and large    monsters .|Dark Binding - Active:   Morgana  throws a sphere of dark magic in the target direction that deals  magic damage  to the first enemy hit and    roots  them for a duration.|Tormented Shadow - Passive:   Tormented Shadow's     current  cooldown  is reduced by 5% of its  total  cooldown whenever    Soul Siphon  triggers. Simultaneous triggers from multiple targets will stack the cooldown reduction.|Black Shield - Active:   Morgana  grants a    shield  to the target allied    champion  or herself for 5 seconds, which absorbs incoming  magic damage  and grants    crowd control immunity  while it holds.|Soul Shackles - Active:   Morgana  latches chains of energy onto nearby enemy champions over the cast time, dealing  magic damage  and forming a    tether  between herself and each target for 3 seconds, during which she gains    bonus  movement speed  and the targets are    revealed  and    slowed  by 20%.
